airline,count
ANA,1
Aeronaves TSM,1
Air Canada,2
Air India Express,1
Air Tanzania,1
Air Vanuatu,1
American Airlines,1
Ameriflight,1
Bangkok Airways,1
British Airways,1
China Eastern Airlines,1
China Express Air,2
China Southern Airlines,2
Delta Air Lines,1
Donghai Airlines,1
EgyptAir,1
Etihad Airways,1
FedEx,1
Greater Bay Airlines,1
Gulf Air,1
Japan Airlines,1
JetBlue Airways,1
KM Malta Airlines,1
LOT - Polish Airlines,1
Lion Air,1
Qatar Airways,1
Royal Brunei Airlines,1
Saudia,1
Singapore Airlines,1
Tianjin Airlines,1
United Airlines,1
Volaris,1
easyJet,1
